regime;a_t_tilde;r_t_tilde;pi_year
0;13.763610796779862;0.11286663903211512;0.0238104702471567
0;14.03891469343024;0.1867658065779892;0.02374063259110337
0;14.346545613050328;0.22792566290014707;0.02093647420416324
0;14.450267912989355;0.1573538608324348;0.028399878936165364
0;14.458627909869957;0.19522380520050753;0.025172798633618113
0;14.52424485291441;0.21470320115985592;0.022362740735362582
0;14.582215621346306;0.08936407464798439;0.03567475951593238
0;14.593245380507827;0.09177900121090861;0.03736065693701544
0;14.66850894048547;0.21466649997777382;0.02074213921422865
0;14.720707893981533;0.1721060851516149;0.02554621800682902
0;14.731992768502995;0.09442115962337111;0.02820648182729548
0;14.772221915599065;0.057137107951252694;0.036468982269925204
0;14.804141761830085;0.11524894360336639;0.02541398626111049
0;14.95444460806765;0.21785998145440894;0.021685874824077186
0;14.963159462065432;0.16845302308160603;0.02998583582320031
0;15.00341642086245;0.1808846793826473;0.026085806756706683
0;15.010289596128466;0.14924944496526443;0.029781593334363286
0;15.076053151792692;0.21584559943494308;0.024040829552478226
0;15.116895240826164;0.11205397238657723;0.02844775221984748
0;15.175287774294802;0.1653890578306864;0.03340745986312252
0;15.231907789653489;0.11614847482387228;0.01692607273413698
0;15.287489166685514;0.12501725976697653;0.03462468057378297
0;15.28917471047012;0.08467502780347352;0.03333484892318444
0;15.304472444860636;0.09781385830462383;0.026471495823433815
0;15.306338875972902;0.05362168408307219;0.03915897720917315
0;15.30771650375663;0.013591973232234308;0.025739283227332547
0;15.309403721829497;0.04617044692859825;0.03256314236174514
0;15.380418237838926;0.0779917224246909;0.031947516578109646
0;15.382676008367799;0.10311109287450702;0.028426528731787006
0;15.521310306786324;0.11550492650176608;0.026553004431369986
0;15.527627942257944;0.022574705576974927;0.04296408560350964
0;15.532308485894424;0.04003708675045966;0.03383716147765959
0;15.548815960052881;0.04444277459830369;0.04988444139693838
0;15.550134801757372;0.11173188724664146;0.02497118478262924
0;15.583773582746844;0.1322323793396426;0.027681263816356202
0;15.599589889965106;0.06556827064510293;0.038551996917396414
0;15.60512092509536;0.004125628463193115;0.028976810376843944
0;15.608347859842164;0.04254716972185667;0.025999199492443375
0;15.655824666647222;0.13485022337463146;0.037578088236942975
0;15.676312189299598;0.08616837990498452;0.045497560324362356
0;15.676700799987255;0.14042201009222513;0.034375580093561946
0;15.679568363114456;0.13072042116341345;0.042331330766312625
0;15.712316571203822;0.08652506277304679;0.038820877328150975
0;15.722774297676349;0.09100639318115748;0.026676008543377126
0;15.737578525822451;0.16521619324591516;0.023663995054007816
0;15.818220476934457;0.059078205087588195;0.037097234269985936
0;15.896450076406717;0.0800135377551554;0.0316938661072778
0;15.900510494606241;0.144884452266607;0.043263548085846974
0;15.91172351332838;-0.062294848179543;0.03697023424359518
0;15.964254989214702;0.1987306156170487;0.025124464148043986
1;16.627707270657744;-0.34541975081177106;0.01961312534434196
1;16.654644897336496;0.10372965180265323;0.011013351402502192
1;16.659073194668007;0.23628488802881237;0.01711596879330738
1;16.773480847151518;0.17258672721340504;0.006756442982442
1;16.811842120710484;0.2568410682760789;0.016948562936006953
1;16.854074487883643;-0.15842246958341322;0.024167607142478884
1;16.96728275608267;0.003834642977899032;0.013826596867407497
1;17.038022006381553;-0.07911975138613732;0.005924884676026048
1;17.05818115256899;0.1745707158852047;0.013301852462776423
1;17.061991056456936;-0.02586616082912009;0.009717264736636571
1;17.110337773850233;-0.06084475590978262;0.015900249070732612
1;17.20101841360102;-0.05027591959783246;0.01833783968820267
1;17.22249448470976;-0.3133787463971782;0.017820241119691268
1;17.230975418570882;0.19088003121210656;0.006482946298270028
1;17.23206574742408;-0.03210833993664928;0.016387558277764103
1;17.326773300610938;-0.06891962915756086;0.008863467093105669
1;17.38394758384798;0.15235291406661072;0.01249329427825718
1;17.453742951261678;-0.14011087179564827;0.0026931270680493596
1;17.471967684928416;0.04831273995321194;0.01956131986361561
1;17.50476786874912;-0.1341516059791724;0.02185051191378324
1;17.515589118850478;-0.0696217896883207;0.012784292486471326
1;17.52940430659405;-0.19793774925676486;0.010114142825792543
1;17.54330642458328;0.06778834397326192;0.01755593349446738
1;17.548331426676775;-0.2800716275587422;0.011753039669002385
1;17.669584801521204;-0.040561226014277196;0.011651553671213745
1;17.679446676654088;-0.14546639952454365;0.004698167674226122
1;17.73609500707667;-0.3213112271441528;0.021255050531136025
1;17.80754324279908;0.11688544835818412;0.02095230064006813
1;17.832276017884354;-0.07755271249356827;0.008681508746396342
1;17.902691943710327;-0.122816038351592;0.013885466618402861
